director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,"Horror, Action, War",shadow in the cloud
Anthony Leone,Amy Cay,Brian Patrick Butler,Michael C. Burgess,"Adventure, Family, TV Movie, Western",hacksaw
Yaniv Raz,Lucas Jade Zumann,Taylor Russell,Chase Stokes,"Comedy, Drama",dr. bird's advice for sad poets
Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Drama,the white tiger
Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,"Comedy, Crime, Romance",locked down
Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,"Thriller, Crime",the dig
m,Anthony Mackie,Damson Idris,Emily Beecham,"War, Drama",outside the wire
Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba,"Action, Drama, Thriller",the marksman
Bennett Lasseter,Keean Johnson,Madeline Brewer,Rya Kihlstedt,"Drama, Music",the ultimate playlist of noise
Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,"Crime, Drama",american skin
Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Thriller,don't tell a soul
Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,"Drama, Romance",our friend
Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,"Crime, Drama, Thriller, Western",no man's land
Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,"Action, Drama",born a champion
Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,"Horror, Thriller",wrong turn
Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom
John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,"Drama, Crime, Thriller",the little things
Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,"Adventure, Action, Comedy, Family",finding ʻohana
Zhao,Frances McDormand,David Strathairn,Linda May,Drama,nomadland
Sam Levinson,Zendaya,John David Washington,,"Drama, Romance",malcolm & marie
Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer
Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Drama,falling
Mike Cahill,Owen Wilson,Salma Hayek,,"Drama, Romance",bliss
Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,"Drama, Crime",little fish
Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,"History, Drama",son of the south
Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat
Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,"Music, Drama",music
Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,"Drama, History",judas and the black messiah
Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley,"Drama, Thriller",the mauritanian
Tate Taylor,Allison Janney,Mila Kunis,Awkwafina,"Comedy, Drama, Crime",breaking news in yuba county
Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan,Comedy,barb and star go to vista del mar
Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim,Drama,minari
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,"Romance, Comedy, Drama",to all the boys: always and forever
Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott,"Romance, Drama, Western",the world to come
Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts,"Comedy, Romance",french exit
Robin Wright,Robin Wright,Demián Bichir,Kim Dickens,Drama,land
Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,"Horror, Thriller",willy's wonderland
Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,"Fantasy, Romance",the map of tiny perfect things
Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard,"Thriller, Horror, Drama",fear of rain
J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González,"Crime, Thriller, Drama",i care a lot
Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz,"Family, Adventure, Comedy, Fantasy",flora & ulysses
Tiller Russell,Jason Clarke,Nick Robinson,Katie Aselton,"Crime, Thriller",silk road
Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost,"Comedy, Family, Animation",tom & jerry
Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund,"Music, Drama, History",the united states vs. billie holiday
Anthony and Joe Russo,Tom Holland,Ciara Bravo,Jack Reynor,"Romance, Comedy",cherry
Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly,"Crime, Drama, Thriller",crisis
R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird,"Documentary, Music",billie eilish: the world's a little blurry
Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman,"Horror, Mystery",the vigil
Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,"Comedy, Drama, Music",moxie
Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler,Comedy,coming 2 america
Tim Hill,Tom Kenny,Awkwafina,Matt Berry,"Family, Comedy, Adventure, Animation",the spongebob movie: sponge on the run
pez Estrada,Kelly Marie Tran,Awkwafina,Izaac Wang,"Animation, Family, Fantasy, Action, Adventure",raya and the last dragon
Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen,"Fantasy, Science Fiction, Adventure",chaos walking
Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,"Action, Science Fiction, Thriller",boss level
Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Drama,boogie
Miguel Arteta,Jennifer Garner,Édgar Ramírez,Jenna Ortega,"Family, Comedy",yes day
Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson,"Horror, Mystery, Thriller",long weekend
Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,"Science Fiction, Action, Adventure",cosmic sin
Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,"Crime, Drama, Thriller",trust
Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,"Action, Adventure, Fantasy",zack snyder's justice league
Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,"Action, Crime",the courier
Brad Furman,Johnny Depp,Forest Whitaker,,"Crime, Thriller, Drama",city of lies
BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,"Comedy, Romance, Science Fiction, Thriller",happily
Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,"Action, Thriller",nobody
Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Comedy,bad trip
Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Horror,the seventh day
Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,"Comedy, Romance",senior moment
Mikey Alfred,Ryder McLaughlin,Vince Vaughn,Miranda Cosgrove,"Comedy, Drama",north hollywood
Stephen Kijak,Helena Howard,Ellar Coltrane,Elena Kampouris,"Comedy, Drama",shoplifters of the world
Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,"Action, Science Fiction, Adventure",godzilla vs. kong
Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,"Drama, Western",concrete cowboy
Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,"Horror, Mystery",the unholy
Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,"Thriller, Mystery",every breath you take
Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,"Comedy, Drama",shiva baby
Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,"Family, Drama",the girl who believes in miracles
Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Drama,the believer
Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,"Horror, Mystery",dawn of the beast
Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,"Science Fiction, Thriller",voyagers
Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,"Comedy, Action, Adventure, Science Fiction",thunder force
Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,"Animation, Comedy, Family",arlo the alligator boy
Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,"Drama, Romance",monday
Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,"Horror, Science Fiction, Thriller",in the earth
Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,"Science Fiction, Drama, Thriller, Adventure",stowaway
Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,"Action, Fantasy, Adventure",mortal kombat
George Gallo,Ruby Rose,Morgan Freeman,,"Action, Adventure, Thriller",vanquish
Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,"Drama, Comedy, Romance",together together
Jeff Rosenberg,William Jackson Harper,Aya Cash,,"Romance, Comedy",we broke up
Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,"Horror, Science Fiction",the deep ones
Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Horror,things heard & seen
Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,"Animation, Adventure, Comedy",the mitchells vs. the machines
Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,"Action, Thriller, War",without remorse
Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,"Thriller, Crime, Action",the virtuoso
a,Glenn Close,Mila Kunis,Stephen Root,Drama,four good days
William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,"Horror, Mystery",separation
Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Horror,the resort
Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,"Action, Crime, Thriller",wrath of man
Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,"Crime, Drama",monster
Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,"Action, Comedy",the paper tigers
Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,"Comedy, Drama",mainstream
David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man
Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,"Comedy, Drama",here today
Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,"Thriller, Drama, TV Movie",above suspicion
Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp
Karl Holt,Karl Holt,Claire Cartwright,David Wayman,"Horror, Comedy",benny loves you
Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,"Crime, Drama, Mystery, Thriller",oxygen
Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,"Crime, Action, Horror",army of the dead
Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,"Thriller, Action",those who wish me dead
Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,"Crime, Mystery, Thriller",the woman in the window
Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,"Horror, Mystery, Thriller",spiral
Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,"Crime, Drama",georgetown
Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,"Romance, Drama",finding you
Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,"Drama, Thriller",the killing of two lovers
Dante Yore,John Littlefield,Eric Roberts,Alyson Gorske,"Horror, Action",616 wilford lane
Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,"Comedy, Drama",dream horse
Glenn Miller,Vivica A. Fox,Eva Ceja,D. C. Douglas,"Horror, Action, Comedy",aquarium of the dead
Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Comedy,blast beat
John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,"Science Fiction, Thriller, Horror",a quiet place part ii
Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,"Comedy, Crime, Adventure",cruella
Natalie Morales,Kuhoo Verma,Victoria Moroles,,"Comedy, Romance",plan b
Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Documentary,changing the game
Ennio Torresan,Isabela Merced,Marsai Martin,Mckenna Grace,"Animation, Adventure, Family",spirit untamed
Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,"Horror, Mystery, Thriller",the conjuring: the devil made me do it
Nabil Elderkin,Jacob Latimore,Charlie Plummer,Jonathan Majors,"Drama, Crime",gully
Christopher MacBride,Dylan O'Brien,Maika Monroe,Hannah Gross,"Thriller, Mystery",flashback
Todd Randall,Milo Gibson,Laurence Fishburne,Glenn Morshower,Drama,under the stadium lights
Sebastian Siegel,Mena Suvari,Stuart Townsend,Frances Fisher,"Drama, Comedy, Romance",grace and grit
Mark Raso,Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,"Thriller, Crime, Mystery",awake
Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,"Science Fiction, Action, Adventure",infinite
Will Gluck,James Corden,Rose Byrne,Domhnall Gleeson,"Family, Comedy, Adventure, Animation",peter rabbit 2: the runaway
Jon M. Chu,Anthony Ramos,Corey Hawkins,Leslie Grace,"Drama, Romance",in the heights
Chris Appelhans,Jimmy Wong,John Cho,Constance Wu,"Animation, Family, Comedy, Fantasy",wish dragon
Renny Harlin,Pierce Brosnan,Rami Jaber,Hermione Corfield,"Action, Thriller",the misfits
Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,"History, Drama, Action",12 mighty orphans
Deon Taylor,Mike Epps,Katt Williams,Bresha Webb,Comedy,the house next door: meet the blacks 2
Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret,"Romance, Comedy, Drama",queen bees
Steven V. Vasquez Jr.,David Arquette,Snoop Dogg,Tom Lister Jr.,Comedy,domino: battle of the bones
Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,"Action, Comedy, Crime, Thriller",hitman's wife's bodyguard
Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman,"Animation, Comedy, Fantasy, Adventure, Family",luca
Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery,"Drama, Comedy",fatherhood
Jimmy Giannopoulos,Shiloh Fernandez,Val Kilmer,Ewan McGregor,"Crime, Thriller",the birthday cake
rez Riera,Rita Moreno,Eva Longoria,George Chakiris,Documentary,rita moreno: just a girl who decided to go for it
Edgar Wright,Ron Mael,Russell Mael,,"Documentary, Music, Comedy, History",the sparks brothers
Lisa Immordino Vreeland,Jim Parsons,Zachary Quinto,,Documentary,truman & tennessee: an intimate conversation
Tyler Savage,Christine Ko,Vincent van Horn,Michael Joplin,"Horror, Thriller",stalker
Jamie Adams,Alia Shawkat,Eiza González,Chanel Cresswell,"Comedy, Drama, Music",love spreads
Nancy Buirski,Gary Duncan,Richard Sobol,,"Documentary, Crime",a crime on the bayou
Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho,"Comedy, Romance",good on paper
Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,"Action, Adventure, Crime",f9
Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,"Action, Thriller",the ice road
Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil,"Horror, Comedy",werewolves within
John Lee,Ilana Glazer,Justin Theroux,Sophia Bush,"Horror, Mystery, Thriller",false positive
Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb,"Crime, Drama, Thriller",lansky
Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez,Drama,i carry you with me
Vanessa Roth,Mary J. Blige,Taraji P. Henson,Alicia Keys,"Documentary, Music",mary j. blige's my life
Drew Xanthopoulos,Michelle Fournet,Ellen Garland,,"Action, Comedy, Drama",fathom
Isaiah Smallman,Johnny Ray Gill,Kate Cobb,Vicky Jeudy,Comedy,rollers
Matt Thompson,Channing Tatum,Jason Mantzoukas,Olivia Munn,"Animation, Action, Comedy",america: the motion picture
Janicza Bravo,Taylour Paige,Riley Keough,Nicholas Braun,"Comedy, Crime",zola
Steven Soderbergh,Don Cheadle,Benicio del Toro,David Harbour,"Crime, Thriller",no sudden move
Chris McKay,Chris Pratt,Yvonne Strahovski,J. K. Simmons,"Action, Science Fiction, Adventure",the tomorrow war
Tom McGrath,Alec Baldwin,James Marsden,Amy Sedaris,"Animation, Comedy, Adventure, Family",the boss baby: family business
Everardo Gout,Ana de la Reguera,Tenoch Huerta,Josh Lucas,"Action, Horror, Thriller",the forever purge
Leigh Janiak,Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.,"Horror, Mystery",fear street part one: 1994
Questlove,Stevie Wonder,Nina Simone,Sly and the Family Stone,"Music, Documentary, History",summer of soul
S.K. Dale,Megan Fox,Eoin Macken,Callan Mulvey,"Horror, Romance, Drama",till death
Craig Moss,Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler,"Science Fiction, Thriller, Horror",let us in
Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,"Action, Adventure, Science Fiction",black widow
Leigh Janiak,Sadie Sink,Emily Rudd,Ryan Simpkins,"Horror, Mystery",fear street part two: 1978
pez Estrada,Tyris Winter,Marquesha Babers,Maia Mayor,"Drama, Romance",summertime
Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,"Action, Crime, Thriller",gunpowder milkshake
Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis,"Family, Comedy, Adventure, Animation, Science Fiction",space jam: a new legacy
Adam Robitel,Taylor Russell,Logan Miller,Indya Moore,"Horror, Thriller, Mystery",escape room: tournament of champions
Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,"Mystery, Horror",fear street part three: 1666
Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,"Action, Comedy, Romance",die in a gunfight
Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin,"Drama, Thriller, Mystery",pig
Mike Burns,Bruce Willis,Jaime King,Lala Kent,"Action, Thriller, Crime",out of death
Morgan Neville,Anthony Bourdain,,,Documentary,roadrunner: a film about anthony bourdain
Jones,Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,"Science Fiction, Thriller, Mystery, Action, Adventure",how it ends
Francisco Ruiz Velasco,Emile Hirsch,Lexi Medrano,Charlie Saxton,"Animation, Fantasy, Family, Action, Adventure",trollhunters: rise of the titans
Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó,"Thriller, Crime, Mystery",snake eyes
